店名,Google搜尋連結,評分,分類
Lawlaw 嘮嘮咖啡,https://www.google.com/maps/search/?api=1&query=Lawlaw%E5%98%AE%E5%98%AE%E5%92%96%E5%95%A1,4.6 星級,咖啡店
Simple Kaffa Sola 天空興波,https://www.google.com/maps/search/?api=1&query=Simple%20Kaffa%20Sola%20%E5%A4%A9%E7%A9%BA%E8%88%88%E6%B3%A2-Simple%20Kaffa%20%E8%88%88%E6%B3%A2%E5%92%96%E5%95%A1,4.0 星级,咖啡店
HARBS,https://www.google.com/maps/search/?api=1&query=Harbs,4.1 星级,甜品店
London Bagel Museum Dosan,https://www.google.com/maps/search/?api=1&query=London%20Bagel%20Museum%20Dosan,4.3 星级,貝果店
雅室牛排 仁愛圓環店,https://www.google.com/maps/search/?api=1&query=%E9%9B%85%E5%AE%A4%E7%89%9B%E6%8E%92%20%E4%BB%81%E6%84%9B%E5%9C%93%E7%92%B0%E5%BA%97,4.3 星級,牛排館
客美多咖啡 Komeda‘s Coffee,https://www.google.com/maps/search/?api=1&query=%E5%AE%A2%E7%BE%8E%E5%A4%9A%E5%92%96%E5%95%A1%20Komeda%E2%80%98s%20Coffee,4.5 星級,咖啡店
洄游咖啡,https://www.google.com/maps/search/?api=1&query=%E6%B4%84%E6%B8%B8%E5%92%96%E5%95%A1,4.9 星級,咖啡店
